№ Участника,Наименование участника,"БИН (ИНН, УНП)",ИИН,РНН
120522,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ДАМБИНСКАЯ ВРАЧЕБНАЯ АМБУЛАТОРИЯ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АТЫРАУСКОЙ ОБЛАСТИ""",070140004563,,
120520,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""МНОГОПРОФИЛЬНАЯ ГОРОДСКАЯ ДЕТСКАЯ БОЛЬНИЦА"" НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКТЮБИНСКОЙ ОБЛАСТИ""",060540004823,,
120519,"МЕДИЦИНСКОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНАЯ СМОТРОВАЯ ПОЛИКЛИНИКА""",050740001874,,
120518,"КГП НА ПХВ ""ЖЫЛЫОЙСКАЯ ЦРБ"" УЗ АО",040940002967,,
120517,"РГУ ""ВОЕННЫЙ ЛАЗАРЕТ, ГОРОД УСТЬ-КАМЕНОГОРСК"" МИНИСТЕРСТВА ОБОРОНЫ РЕСПУБЛИКИ КАЗАХСТАН",030740000169,,
120513,"ТОО ""ЦЕНТР МОЛЕКУЛЯРНОЙ МЕДИЦИНЫ""",020840005359,,
120512,ГКП на ПХВ «Балхашская центральная районная больница» ГУ «Управление здравоохранения Алматинской области»,020240003847,,
120511,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 2 УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЖАМБЫЛСКОЙ ОБЛАСТИ""",011040001715,,
120509,"""АТЫРАУ ОБЛЫСЫ ДЕНСАУЛЫҚ САҚТАУ БАСҚАРМАСЫНЫҢ ""АТЫРАУ ОБЛЫСТЫҚ ӨКПЕ АУРУЛАР САНАТОРИЯСЫ"" ШАРУАШЫЛЫҚ ЖҮРГІЗУ ҚҰҚЫҒЫНДАҒЫ КОММУНАЛДЫҚ МЕМЛЕКЕТТІК КӘСІПОРНЫ",000940002236,,
120508,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ШУСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА УПРАВЛЕНИЯ ЗДРАВООХРОНЕНИЯ АКИМАТА ЖАМБЫЛСКОЙ ОБЛАСТИ""",000440001993,,
120506,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №13"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",991240004571,,
120505,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 2"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",991240004551,,
120504,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ.",991240004541,,
120503,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №5"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",991240004511,,
120502,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №1"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",991240004462,,
120501,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЦЕНТР ГИПЕРБАРИЧЕСКОЙ ОКСИГЕНАЦИЙ ИМЕНИ Т.О.ОРЫНБАЕВА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",991140004736,,
120500,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №4"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",991140004677,,
120498,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «ЦЕНТР ПСИХИЧЕСКОГО ЗДОРОВЬЯ» КОММУНАЛЬНОГО ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКИМАТА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",960140000795,,
120495,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №11"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",991240004591,,
120494,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКОЙ ЦЕНТР КРОВИ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",990940002459,,
120492,"""SHYMKENT MEDICAL SERVICES"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",180240008275,,
120490,ГКП на ПХВ «Городская многопрофильная больница с онкологическим центром» УЗ г.Шымкент,990740003271,,
120489,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТОМАТОЛОГИЧЕСКАЯ КЛИНИКА ""МҰРАТ-ДАНТИСТ""",980740000582,,
120487,"ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""ПОЛИКЛИНИКА ЧАПАЕВКА""",970740002567,,
120486,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕНСАУЛЫК""",960740001150,,
120485,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""ЖУСАН""",950340002023,,
120476,"ТОО ""MEDСENTRE ""ALIMA""",190640003934,,
120474,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ""NAZMED""",190140002452,,
120473,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""KLINIKA MOLDAS""",181240004374,,
120472,"ТОО ""Центр семейного здоровья ""АРУЖАН""",181040008895,,
120471,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛИНИКА КАРДИОМЕД""",180940029302,,
120470,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ""ОМАРАЛИ""",180940018872,,
120469,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛИНИКА ХАДИША""",180940005942,,
120468,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ParkHealth""",180440018903,,
120466,"ТОО ""VERUM QZ""",170640010606,,
120465,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDICAL CITY""",170640009117,,
120463,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ALIJAR MED""",170540030964,,
120462,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""CITYМЕD""",170540012262,,
120461,"ШЫМКЕНТ ҚАЛАСЫНЫҢ ДЕНСАУЛЫҚ САҚТАУ БАСҚАРМАСЫНЫҢ ШАРУАШЫЛЫҚ ЖҮРГІЗУ ҚҰҚЫҒЫНДАҒЫ ""№2 ҚАЛАЛЫҚ АУРУХАНА"" МЕМЛЕКЕТТІК КОММУНАЛДЫҚ КӘСІПОРНЫ",170340012146,,
120456,"ТОО ""ALFA MED (АЛЬФА МЕД)""",160740004316,,
120453,Товарищества с ограниченной ответственностью «Медицинский реабилитационный центр «НевроМед»,160140014559,,
120449,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОМЕД-ШЫМКЕНТ""",151040003918,,
120448,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""KUANDYK-R CORPORATION""",150940006734,,
120447,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКО ЦЕНТР ДОКТОРА ТАРАРАКА""",150840008866,,
120445,"""ДОЛАНА - БҰЛАҚ"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",150740002665,,
120444,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""PREMIUM DIALYSIS""",150640007533,,
120443,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИКЕР ЮК""",150140022767,,
120442,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDI-AR"" МЕДИЦИНА ОРТАЛЫҒЫ",150140001823,,
120441,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЧЕЧНЫЙ ЦЕНТР ЮКО""",141040029781,,
120438,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛИНУР И К""",140840021405,,
120437,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКО ЛАБ""",140840018980,,
120435,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРОАНДРОЛОГИЧЕСКИЙ ЦЕНТР - СҰЛТАН""",140640009171,,
120434,"ТОО ""ИНВИВО ВДП""",140440030707,,
120433,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА№8"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",140440022499,,
120432,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEREI MED""",140440015793,,
120431,"Товарищество с ограниченной ответственностью ""Мед центр ""Биоклиник""",170740011658,,
120430,"ТОО ""CARDIO PLUS""",140240015984,,
120429,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Городская поликлиника №3"" управления здравоохранения города Шымкент",130940020627,,
120428,"Товарищество с ограниченной ответственностью ""Сан-Мед Сервис""",130940016748,,
120427,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛИКЛИНИКА ""ДАУ-МЕД""",130940012309,,
120426,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""BAZISMED""",130740024147,,
120425,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №9"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",130740003520,,
120424,"ТОО ""Медицинский центр ""ЕЛМЕД""",121140004895,,
120423,"Товарищество с ограниченной ответственностью ""Клиника Демеу""",121040005969,,
120422,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОКТОР МАГНУС""",120940011943,,
120421,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНАСТАСИЯ ПЛЮС""",120840004045,,
120420,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕЧЕБНО-ДИАГНОСТИЧЕСКИЙ ЦЕНТР ""СУНКАР-АТЫРАУ""",120640009900,,
120419,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЫМБАТ-НҰР""",111140013882,,
120418,"ТОО ""IDSenim""",111040002536,,
120416,"""АЙ-НҰРЫ"" МЕДИЦИНАЛЫҚ ОРТАЛЫҒЫ"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",110940000592,,
120412,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛИНИКА DL - ЭКО""",110140005610,,
120411,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №6"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",101240014733,,
120410,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №7"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ""",101240013537,,
120409,ГКП на ПХВ «Городской перинатальный центр» Управления здравоохранения города Шымкент,101240007403,,
120406,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №12"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",091040004259,,
120405,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ БОЛЬНИЦА №3"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",091040002103,,
120404,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИК-СЕРВИС""",071240002870,,
120403,"ШЫМКЕНТ ҚАЛАСЫНЫҢ ДЕНСАУЛЫҚ САҚТАУ БАСҚАРМАСЫНЫҢ ШАРУАШЫЛЫҚ ЖҮРГІЗУ ҚҰҚЫҒЫНДАҒЫ ""№2 ОҢАЛТУ ОРТАЛЫҒЫ"" МЕМЛЕКЕТТІК КОММУНАЛДЫҚ КӘСІПОРНЫ",070340010056,,
120402,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКОЙ РОДИЛЬНЫЙ ДОМ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",070340010019,,
120401,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",070340009948,,
120400,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРЕМИУМ - МЕД""",171040012485,,
120399,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ""МАТЬ И ДИТЯ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",070240010640,,
120396,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОД И КОМПАНИЯ""",051240006893,,
120395,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ASTANA VISION SHYMKENT""",040840002527,,
120392,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛИНИКА ""ДАУ-МЕД""",040140006108,,
120391,"""АВИЦЕННА-ВАЦЛАВ"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",031040004049,,
120390,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧАСТНЫЙ МЕДИЦИНСКИЙ ЦЕНТР ""УРОМЕД""",031040002519,,
120388,"ТОО ""Жанға Шипа""",021240001536,,
120386,"ШЫМКЕНТ ҚАЛАСЫНЫҢ ДЕНСАУЛЫҚ САҚТАУ БАСҚАРМАСЫНЫҢ ""МЕЙІРІМ"" ОҢАЛТУ ОРТАЛЫҒЫ"" МЕМЛЕКЕТТІК КОММУНАЛДЫҚ ҚАЗЫНАЛЫҚ КӘСІПОРНЫ",021140004567,,
120383,"АО ""Центр сердца Шымкент""",000940002454,,
120382,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""РЕАБИЛИТАЦИОННЫЙ ЦЕНТР №1"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",000540004039,,
120381,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЦЕНТР ПСИХИЧЕСКОГО ЗДОРОВЬЯ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",000540002698,,
120380,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №10"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",000240004425,,
120379,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАНУР""",000140005896,,
120378,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕМИР-СЕРВИС ЛТД""",000140004719,,
120377,"ТОО ""ГОРОДСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА ШЫМКЕНТ""",000140000290,,
120376,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНОЙ ЦЕНТР ПСИХИЧЕСКОГО ЗДОРОВЬЕ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ТУРКЕСТАНСКОЙ ОБЛАСТИ",990540001575,,
120369,"ТОО ""В.В.NURA""",110140008497,,
120356,"ТОО ""МЕДЦЕНТР-КЕНТАУ""",991240004717,,
120355,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНЫЙ ЦЕНТР ПЕДИАТРИИ И ДЕТСКОЙ ХИРУРГИИ""",991240004660,,
120354,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНОЙ ЦЕНТР КРОВИ"" ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АЛМАТИНСКОЙ ОБЛАСТИ""",991240003276,,
120353,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ДЕНИСОВСКАЯ РАЙОННАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ",991240001765,,
120352,"ГКП на ПХВ ""Областная больница города Талдыкорган"" ГУ ""Управления здравоохранения области Жетісу"" акимата области Жетісу",991240001666,,
120351,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАСАР""",991140005269,,
120350,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНОЙ ДЕТСКИЙ РЕАБИЛИТАЦИОННЫЙ ЦЕНТР""УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ТУРКЕСТАНСКОЙ ОБЛАСТИ",991140004756,,
120348,"ГКП на ПХВ ""Областной кардиологический центр"" ГУ ""Управление здравоохранения области Жетісу""",991040002489,,
120347,"КГП на ПХВ ""Областной центр фтизиопульмонологии"" управления здравоохранения области Абай",991040001538,,
120346,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""БОЛЬНИЦА МЕДИЦИНСКОГО ЦЕНТРА УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РЕСПУБЛИКИ КАЗАХСТАН"" НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ",990740002243,,
120344,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Областная клиническая больница"" управления здравоохранения Туркестанской области",990740001631,,
120343,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №1"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",990740001532,,
120342,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КОКШЕТАУСКАЯ ГОРОДСКАЯ МНОГОПРОФИЛЬНАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",990740001522,,
120341,"АЛМАТЫ ҚАЛАСЫ ДЕНСАУЛЫҚ САҚТАУ БАСҚАРМАСЫНЫҢ ШАРУАШЫЛЫҚ ЖҮРГІЗУ ҚҰҚЫҒЫНДАҒЫ ""№18 ҚАЛАЛЫҚ ЕМХАНА"" МЕМЛЕКЕТТІК КОММУНАЛДЫҚ КӘСІПОРЫНЫ",990740001502,,
120340,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Городская поликлиника № 15"" Управления общественного здравоохранения города Алматы",990740001483,,
120339,"КГП на ПХВ ""ГЦПП"" УОЗ г.Алматы",990740001423,,
120338,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ БОЛЬНИЦА ""АЛАТАУ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА АЛМАТЫ",990740000425,,
120337,"ГКП на ПХВ ""Туркестанская городская центральная больница"" управления здравоохранения Туркестанской области",990640003397,,
120336,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Кентауская центральная городская больница"" управления здравоохранения Туркестанской области",990640003199,,
120334,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""АМАНГЕЛЬДИНСКАЯ РАЙОННАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ",990640001727,,
120333,"КГП ""Кушмурунская сельская больница"" Управления здравоохранения акимата Костанайской области",990640001678,,
120332,"АСТАНА ҚАЛАСЫ ӘКІМДІГІНІҢ ШАРУАШЫЛЫҚ ЖҮРГІЗУ ҚҰҚЫҒЫНДАҒЫ ""ПАТОЛОГОАНАТОМИЯЛЫҚ БЮРО"" МЕМЛЕКЕТТІК КОММУНАЛДЫҚ КӘСІПОРНЫ",990640001628,,
120331,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ЦЕНТР ПО ПРОФИЛАКТИКЕ ВИЧ-ИНФЕКЦИИ"" АКИМАТА ГОРОДА АСТАНЫ",990640001579,,
120330,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ТРАНСФУЗИОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",990640001569,,
