№,Организатор,Название объявления,Способ закупки,Вид предмета закупки,Дата начала приема заявок,Дата окончания приема заявок,Кол-во лотов,Сумма объявления,Статус
392340-1,"ФИЛИАЛ ПО ГОРОДУ АСТАНА НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения/
[2021 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2021-06-11 09:20:00,2021-06-15 18:30:00,2,415 310 372.80,Завершено
392320-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственного средства
Дәрілік затты сатып алу",Двухэтапный тендер,Товар,2021-06-11 09:00:00,2021-07-01 10:00:00,1,9 021 595.00,Завершено
392300-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств и медицинских изделий
Дәрілік заттар мен медициналық бұйымдарды сатып алу",Двухэтапный тендер,Товар,2021-06-10 09:00:00,2021-06-30 10:00:00,7,893 749 839.44,Завершено
392280-1,"ФИЛИАЛ ПО ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-06-09 13:00:00,2021-06-15 18:30:00,5,636 463 168.00,Завершено
392260-1,"ФИЛИАЛ ПО ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2021 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-06-09 13:00:00,2021-06-15 18:30:00,4,1 583 555 133.00,Завершено
392220-1,ФИЛИАЛ ПО ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА «ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ»,"[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-06-08 13:00:00,2021-06-11 20:00:00,1,17 345 223.38,Завершено
392160-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств и медицинских изделий
Дәрілік заттар мен медициналық бұйымдарды сатып алу",Двухэтапный тендер,Товар,2021-06-29 09:00:47,2021-07-01 18:34:47,44,5 844 165 111.76,Завершено
392140-1,"Филиал по Мангистауской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","[2021 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2021 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2021-06-04 17:30:00,2021-06-09 19:30:00,1,55 478 600.00,Завершено
392120-1,"Филиал по Мангистауской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2021-06-11 14:00:34,2021-06-16 14:00:34,3,545 202 756.43,Завершено
392080-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств
Дәрілік заттарды сатып алу",Из одного источника,Товар,2021-06-10 09:00:00,2021-06-15 18:30:00,1,16 602 277.50,Завершено
392060-1,"ФИЛИАЛ ПО АКТЮБИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.
[2021 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.",Закуп медицинских услуг,Услуга,2021-06-09 18:12:10,2021-06-14 18:12:10,2,272 860 873.51,Завершено
392040-1,"ФИЛИАЛ ПО АКТЮБИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-06-09 16:50:58,2021-06-14 16:50:58,3,322 246 142.82,Завершено
392000-1,"ФИЛИАЛ ПО ГОРОДУ АЛМАТЫ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.",Закуп медицинских услуг,Услуга,2021-06-02 18:15:00,2021-06-04 18:15:00,1,98 114 287.90,Завершено
391980-1,"ФИЛИАЛ ПО КАРАГАНДИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-06-02 11:00:00,2021-06-03 11:00:00,1,36 773 872.13,Завершено
391960-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственного средства
Дәрілік затты сатып алу",Двухэтапный тендер,Товар,2021-06-02 09:00:00,2021-06-22 10:00:00,1,18 266 835.00,Завершено
391920-1,"ФИЛИАЛ ПО СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения, претендующих на оказание медицинских услуг в системе обязательного социального медицинского страхования
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2021-06-02 09:00:00,2021-06-04 18:30:00,3,103 001 420.68,Завершено
391880-1,"ФИЛИАЛ ПО КАРАГАНДИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2021 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-28 19:05:00,2021-06-01 12:00:00,6,406 082 208.83,Завершено
391860-1,"ФИЛИАЛ ПО КАРАГАНДИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-28 19:00:00,2021-06-01 12:00:00,6,1 108 687 742.15,Завершено
391820-1,"Филиал по Алматинской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2021-06-02 17:30:46,2021-06-04 12:00:00,5,1 637 352 857.00,Завершено
391800-1,"Филиал по Алматинской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","[2021 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-26 11:00:00,2021-05-28 18:30:00,4,342 205 477.00,Завершено
391780-1,Филиал по Костанайской области некоммерческого акционерного общества «Фонд социального медицинского страхования»,"[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-26 10:00:00,2021-05-27 17:00:00,2,430 774 214.33,Завершено
391760-1,"ФИЛИАЛ ПО ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2021 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-24 11:00:00,2021-05-26 14:00:00,2,115 019 869.00,Завершено
391720-1,"ФИЛИАЛ ПО ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-24 11:00:00,2021-05-26 14:00:00,2,99 603 746.00,Завершено
391680-1,ФИЛИАЛ ПО ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА «ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ»,"[2021 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-21 16:00:00,2021-05-25 12:00:00,1,32 820 000.00,Завершено
391660-1,"ФИЛИАЛ ПО ЖАМБЫЛСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования
Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2021-05-21 15:00:00,2021-05-25 15:00:00,5,926 579 927.63,Завершено
391640-1,"ФИЛИАЛ ПО АТЫРАУСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-20 17:00:00,2021-05-24 17:30:00,5,270 949 637.53,Завершено
391620-1,"ФИЛИАЛ ПО АТЫРАУСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-26 12:26:11,2021-05-31 12:26:11,3,349 466 506.22,Завершено
391580-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств
Дәрілік заттарды сатып алу",Двухэтапный тендер,Товар,2021-06-14 14:54:26,2021-06-17 14:54:26,22,785 587 556.50,Завершено
391560-1,"Некоммерческое акционерное общество ""Фонд социального медицинского страхования""","Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткіз",Закуп медицинских услуг,Услуга,2021-06-01 10:45:00,2021-06-04 10:45:00,1,7 568 083 798.40,Завершено
391540-1,"Некоммерческое акционерное общество ""Фонд социального медицинского страхования""","Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру",Закуп медицинских услуг,Услуга,2021-06-01 10:49:05,2021-06-04 10:49:05,1,1 149 811 256.63,Завершено
391320-1,ФИЛИАЛ ПО ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА «ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ»,"[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-14 20:00:00,2021-05-17 20:00:00,1,6 210 762.54,Завершено
391300-1,"ФИЛИАЛ ПО ГОРОДУ АСТАНА НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения//
Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2021-05-19 16:46:40,2021-05-24 16:46:40,2,572 627 471.20,Завершено
391260-1,"ФИЛИАЛ ПО ГОРОДУ АЛМАТЫ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-13 11:00:00,2021-05-18 11:00:00,2,1 710 334 177.04,Завершено
391240-1,"ФИЛИАЛ ПО ГОРОДУ АЛМАТЫ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2021 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.
[2021 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.",Закуп медицинских услуг,Услуга,2021-05-13 11:00:00,2021-05-18 11:00:00,3,534 872 439.27,Завершено
391180-1,"ФИЛИАЛ ПО ТУРКЕСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения, претендующих на оказание медицинских услуг в системе обязательного социального медицинского страхования
Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2021-05-18 16:08:43,2021-05-21 16:08:43,3,1 125 604 700.00,Завершено
391140-1,"""ӘЛЕУМЕТТІК МЕДИЦИНАЛЫҚ САҚТАНДЫРУ ҚОРЫ"" КОММЕРЦИЯЛЫҚ ЕМЕС АКЦИОНЕРЛІК ҚОҒАМЫНЫҢ ҚЫЗЫЛОРДА ОБЛЫСЫ БОЙЫНША ФИЛИАЛЫ","[2021 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-12 09:00:00,2021-05-14 18:00:00,1,10 000 000.00,Завершено
391080-1,"""ӘЛЕУМЕТТІК МЕДИЦИНАЛЫҚ САҚТАНДЫРУ ҚОРЫ"" КОММЕРЦИЯЛЫҚ ЕМЕС АКЦИОНЕРЛІК ҚОҒАМЫНЫҢ ҚЫЗЫЛОРДА ОБЛЫСЫ БОЙЫНША ФИЛИАЛЫ","[2021 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинских услуг в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2021 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2021-05-18 16:45:35,2021-05-21 16:45:35,3,355 402 720.49,Завершено
