Регион,Код или название услуги,Результат (текст)
область Абай,"D97.311.050 - Снятие швов, удаление лигатур","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D99.292.005 - Анестезия проводниковая,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D99.291.004 - Анестезия аппликационная,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D99.295.007 - Наркоз внутривенный,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,D99.294.006 - Анестезия инфильтративная,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,01.01 - Пункция цистерны,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,02.04 - Костный трансплантат в череп,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,"02.05 - Краниопластика дефекта черепа пластическим материалом (костный цемент, титановая пластина и т.д.)","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,03.01 - Удаление инородного тела из позвоночного канала,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,03.02 - Повторное вскрытие места ламинеэктомии,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,05.00 - Разделение симпатического нерва или ганглия,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,06.00 - Повторное вскрытие щитовидной железы,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,09.00 - Рассечение слезной железы,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,11.00 - Удаление вклинившегося в роговицу инородного тела с помощью магнита,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,10.00 - Удаление вклинившегося инородного тела из конъюнктивы путем рассечения,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,"12.00 - Удаление внутриглазного инородного тела из переднего сегмента глаза, не уточненное иначе","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,"13.00 - Удаление инородного тела из хрусталика, не уточненное иначе","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,"14.00 - Удаление инородного тела из заднего сегмента глаза, не указанное иначе","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,19.00 - Мобилизация стремени,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,20.00 - Миринготомия,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,27.00 - Дренаж области лица и дна полости рта,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,29.00 - Фаринготомия,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,31.00 - Другие манипуляции на гортани и трахее,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,32.00 - Резекция легких и бронхов,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,33.00 - Другие операции на легких и бронхах,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,34.0 - Злокачественное новообразованиеГлавных бронхов,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"35.00 - Закрытая вальвулотомия, неуточненного клапана","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"38.00 - Рассечение сосуда, неуточненной локализации","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,39.0 - Системно-легочный шунт,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,40.00 - Рассечение лимфатических структур,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"44.00 - Ваготомия, не уточенная иначе","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,43.00 - Гастротомия,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,"45.00 - Рассечение кишечника, не уточненное иначе","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,46.00 - Операции на толстой кишке,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
